AFFGEOID,GEOID,geoid_ude,2014_unem,2018_unemp,18-14_unem
1400000US06059001201,"06059001201","6059001201",10.33,6.44,-3.890
1400000US06059001503,"06059001503","6059001503",9.70,3.76,-5.940
1400000US06059001902,"06059001902","6059001902",14.91,6.00,-8.910
1400000US06059011504,"06059011504","6059011504",11.35,8.71,-2.640
1400000US06059021817,"06059021817","6059021817",9.73,5.63,-4.100
1400000US06059021824,"06059021824","6059021824",5.98,4.15,-1.830
1400000US06059021914,"06059021914","6059021914",7.16,5.81,-1.350
1400000US06059021918,"06059021918","6059021918",5.41,5.00,-0.410
1400000US06059032051,"06059032051","6059032051",4.16,3.29,-0.870
1400000US06059042323,"06059042323","6059042323",5.00,1.64,-3.360
1400000US06059052416,"06059052416","6059052416",4.86,4.32,-0.540
1400000US06059052428,"06059052428","6059052428",5.62,3.19,-2.430
1400000US06059052523,"06059052523","6059052523",7.52,3.68,-3.840
1400000US06059062626,"06059062626","6059062626",11.34,11.57,0.230
1400000US06059062701,"06059062701","6059062701",1.44,3.95,2.510
1400000US06059063005,"06059063005","6059063005",2.52,0.00,-2.520
1400000US06059063604,"06059063604","6059063604",9.73,5.06,-4.670
1400000US06059063904,"06059063904","6059063904",5.57,2.18,-3.390
1400000US06059074200,"06059074200","6059074200",9.36,6.64,-2.720
1400000US06059075505,"06059075505","6059075505",5.28,3.12,-2.160
1400000US06059075807,"06059075807","6059075807",10.28,5.64,-4.640
1400000US06059076205,"06059076205","6059076205",11.59,4.77,-6.820
1400000US06059086405,"06059086405","6059086405",7.89,5.67,-2.220
1400000US06059087001,"06059087001","6059087001",13.68,3.60,-10.080
1400000US06059087401,"06059087401","6059087401",16.07,8.17,-7.900
1400000US06059087805,"06059087805","6059087805",10.56,10.04,-0.520
1400000US06059088203,"06059088203","6059088203",18.94,6.71,-12.230
1400000US06059088403,"06059088403","6059088403",11.02,4.47,-6.550
1400000US06059089001,"06059089001","6059089001",13.14,9.42,-3.720
1400000US06059099204,"06059099204","6059099204",5.37,5.57,0.200
1400000US06059099251,"06059099251","6059099251",2.68,5.37,2.690
1400000US06059099410,"06059099410","6059099410",14.83,5.07,-9.760
1400000US06059099604,"06059099604","6059099604",12.31,4.26,-8.050
1400000US06059099801,"06059099801","6059099801",11.76,7.49,-4.270
1400000US06059110012,"06059110012","6059110012",5.58,6.64,1.060
1400000US06059110202,"06059110202","6059110202",10.74,4.95,-5.790
1400000US06059980000,"06059980000","6059980000",,42.86,
1400000US06059075506,"06059075506","6059075506",10.23,2.83,-7.400
1400000US06059075513,"06059075513","6059075513",9.87,9.25,-0.620
1400000US06059075703,"06059075703","6059075703",3.52,2.35,-1.170
1400000US06059075815,"06059075815","6059075815",8.53,10.55,2.020
1400000US06059076101,"06059076101","6059076101",11.05,9.34,-1.710
1400000US06059086404,"06059086404","6059086404",13.00,7.05,-5.950
1400000US06059086803,"06059086803","6059086803",11.40,4.62,-6.780
1400000US06059087102,"06059087102","6059087102",11.69,7.36,-4.330
1400000US06059087106,"06059087106","6059087106",12.38,6.67,-5.710
1400000US06059087601,"06059087601","6059087601",11.05,6.59,-4.460
1400000US06059087806,"06059087806","6059087806",13.67,3.07,-10.600
1400000US06059088905,"06059088905","6059088905",14.17,4.89,-9.280
1400000US06059099216,"06059099216","6059099216",6.18,2.62,-3.560
1400000US06059099226,"06059099226","6059099226",8.01,6.87,-1.140
1400000US06059099238,"06059099238","6059099238",7.01,2.69,-4.320
1400000US06059099245,"06059099245","6059099245",6.63,3.88,-2.750
1400000US06059099249,"06059099249","6059099249",7.42,4.18,-3.240
1400000US06059099310,"06059099310","6059099310",10.22,0.98,-9.240
1400000US06059099405,"06059099405","6059099405",12.18,2.98,-9.200
1400000US06059099412,"06059099412","6059099412",8.29,5.11,-3.180
1400000US06059099509,"06059099509","6059099509",6.63,4.86,-1.770
1400000US06059099605,"06059099605","6059099605",12.13,4.84,-7.290
1400000US06059099802,"06059099802","6059099802",11.73,5.43,-6.300
1400000US06059099902,"06059099902","6059099902",16.10,4.43,-11.670
1400000US06059110114,"06059110114","6059110114",5.87,6.31,0.440
1400000US06059110302,"06059110302","6059110302",9.65,2.30,-7.350
1400000US06059110607,"06059110607","6059110607",9.11,6.41,-2.700
1400000US06059001301,"06059001301","6059001301",10.31,7.32,-2.990
1400000US06059001304,"06059001304","6059001304",8.74,16.09,7.350
1400000US06059001507,"06059001507","6059001507",9.58,5.82,-3.760
